,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
0,10157432,facebook/bart-large-cnn,0.31360192144807275,0,0,0.5333333333333333,0,0.25,0
1,10157432,google/pegasus-xsum,0.3381497065000894,0.08571428571428572,0.15384615384615385,0.1111111111111111,0.6,0.2,0.15384615384615385
2,10157432,t5-large,0.3858174012770206,0.07692307692307693,0.11764705882352941,0.5483870967741935,0,0.1111111111111111,0.11764705882352941
3,10157432,gpt-3.5-turbo,0.35913007372689,0.07317073170731707,0.10526315789473684,0.5757575757575758,0.09090909090909091,0.09090909090909091,0.10526315789473685
4,10157432,RefSum,0.7486129046817023,0.15789473684210525,1,0.06666666666666667,0,0,1
5,34185458,facebook/bart-large-cnn,0.36691963074516754,0,0,0.5454545454545454,0,0,0
6,34185458,google/pegasus-xsum,0.2689414213699951,0,0,0,1,0,0
7,34185458,t5-large,0.401312339887548,0,0,0.4,0,0,0
8,34185458,gpt-3.5-turbo,0.320821300824607,0,0,0.5,0.25,0,0
9,34185458,RefSum,0.5,0,0,0,0,0,0
10,47967764,facebook/bart-large-cnn,0.5073308529375775,0.18181818181818182,0.36363636363636365,0.5161290322580645,0,0,0.3636363636363636
11,47967764,google/pegasus-xsum,0.28768242435513497,0,0,0.24,0,0.6666666666666666,0
12,47967764,t5-large,0.31639899316121717,0,0,0.37037037037037035,0,0.4,0
13,47967764,gpt-3.5-turbo,0.264594764667241,0,0,0.2222222222222222,0.4,0.4,0
14,47967764,RefSum,0.7590422615515825,0.23076923076923078,1,0.08333333333333333,0,0,1
15,blogs-news-from-elsewhere-34313610,facebook/bart-large-cnn,0.36729018717236883,0,0,0.21052631578947367,0.3333333333333333,0,0
16,blogs-news-from-elsewhere-34313610,google/pegasus-xsum,0.6367772228956136,0,0.6666666666666666,0.10526315789473684,0,0,0.6666666666666666
17,blogs-news-from-elsewhere-34313610,t5-large,0.47062211201074466,0,0,0.11764705882352941,0,0,0
18,blogs-news-from-elsewhere-34313610,gpt-3.5-turbo,0.5533673727996529,0,0.5,0.2857142857142857,0,0,0.5
19,blogs-news-from-elsewhere-34313610,RefSum,0.7310585786300049,0,1,0,0,0,1
20,blogs-news-from-elsewhere-51090657,facebook/bart-large-cnn,0.2996973438800395,0,0,0.7058823529411765,0.14285714285714285,0,0
21,blogs-news-from-elsewhere-51090657,google/pegasus-xsum,0.6607563687658172,0,0.6666666666666666,0,0,0,0.6666666666666666
22,blogs-news-from-elsewhere-51090657,t5-large,0.45467026111147996,0,0,0.18181818181818182,0,0,0
23,blogs-news-from-elsewhere-51090657,gpt-3.5-turbo,0.47821892161831325,0,0.4,0.15384615384615385,0.3333333333333333,0,0.4
24,blogs-news-from-elsewhere-51090657,RefSum,0.7310585786300049,0,1,0,0,0,1
25,business-18074966,facebook/bart-large-cnn,0.34999808658149645,0,0,0.3333333333333333,0.2857142857142857,0,0
26,business-18074966,google/pegasus-xsum,0.3048995320536225,0,0,0.07407407407407407,0.75,0,0
27,business-18074966,t5-large,0.37484330315525943,0,0,0.3448275862068966,0.16666666666666666,0,0
28,business-18074966,gpt-3.5-turbo,0.2689414213699951,0,0,0,1,0,0
29,business-18074966,RefSum,0.7310585786300049,0,1,0,0,0,1
30,business-22689987,facebook/bart-large-cnn,0.43409777599097976,0.08333333333333333,0.16666666666666666,0.5151515151515151,0,0,0.16666666666666666
31,business-22689987,google/pegasus-xsum,0.7432563640897742,0.1,1,0.037037037037037035,0,0,1
32,business-22689987,t5-large,0.48661935724502864,0.09090909090909091,0.2222222222222222,0.36666666666666664,0,0,0.2222222222222222
